Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Bahrain,1050.5,24.21,17.8,2.98562,3.12,3.212076983,0,37.27092502,0,0,19,125,132,177,218,40,0,189,0,0,90
Zimbabwe,31.3,0,28.01,2.14198,65.6,11.78386384,0,51.29407937,4.268333333,40.38333333,134,64,159,39,60,205.5,0,33,78,134,90.65
Mauritius,608.3,8.68,15.43,3.80075,20.4,8.074160178,0,50.53673605,3.48,0,91,146,90,128,211,61,0,78,102,0,90.7
Lesotho,66.6,0,24.75,3.06473,59.6,8.197178475,0,51.44848529,4.078333333,32.768,94,77,125,46.5,103.5,205.5,0,29,86,144,91.05
Georgia,66.9,0.44,10.41,0.969875,58.8,3.599994535,0,52.25485542,3.43,47.14,24,192,175,48,105,127,0,15,105,122,91.3
Pakistan,206.2,0.13,29.74,5.71467,61,13.23572991,0,48.63393041,6.462,51.838,148,58,35,43,175,165.5,0,177,8,111,92.05
Spain,80,0.98,10.06,2.99338,16.6,5.302825036,75.5,50.96518516,2.831428571,66.9875,48,197,131,138,117,106.5,21,46,126,11,94.15
Portugal,114.8,1.94,10.72,2.86289,17.4,7.978727077,103.6,52.6745188,2.85625,68.73333333,89,187,135,131.5,143,93,27,11,124,9,94.95
Moldova,132,0,15.7,2.00675,29.6,17.02489913,0,52.01896122,0,0,167,141,161,108,153,205.5,0,17,0,0,95.25
Maldives,1196.7,214.67,34.81,4.88234,25.9,17.33574793,0,43.13929957,5.696666667,37.245,168,41,60,116.5,219,4,0,186,20,140,95.45
Kazakhstan,5.6,0,16,3.29511,26.7,25.86096217,0,51.5672169,3.64,59.41666667,187,139,114,115,16,205.5,0,26,100,57,95.95
India,333.2,0.21,22.01,8.43542,78.9,18.75830738,0,48.18032713,4.970909091,54.057,174,93,7,20,199,153,0,183,40,99,96.8
Iraq,61.3,0.01,31.98,1.51649,39.4,14.14675212,0,49.37694479,7.7,58.57,155,50,169,84.5,95,183,0,163,5,65,96.95
Croatia,79.5,10.32,9.61,3.8782,13.7,18.07137143,0,51.79629127,2.895,60.36,169,207,85,153,115,58,0,22,120,52,98.1
Sweden,20,0.72,10.27,2.51755,9.91,15.42142491,96.8,49.95590118,0,0,163,194,149,166,45,115,24,128,0,0,98.4
Latvia,35.2,0.82,9.24,4.46401,13.3,27.52405769,13.3,54.07340312,2.515,61.865,189,211,72,154,64,111.5,1,2,142,41,98.75
Guyana,3.6,0.21,18.28,4.05135,35,30.84746831,0,49.51829006,3.98,54.715,193,117,81,94,13,153,0,158,88,91,98.8
Canada,3.3,2.02,10.78,2.79317,14.9,11.08195293,99.6,50.38218173,2.488,63.492,127,185,138,147,11,92,25,91,145,30,99.1
Malta,1266.5,62.28,10.22,3.8239,13.2,4.869791157,0,49.77705772,2.875,69.3,42,195,88,155,221,17,0,143,123,8,99.2
Denmark,126.5,16.97,11.13,2.14391,9.01,19.01175329,77,50.26241155,0,0,175,181,158,170,148,50,22,96,0,0,100
Trinidad and Tobago,207.9,7.06,12.9,3.11628,22.3,9.337369993,0,50.73715179,4.05,54.406,108,165,123,123,176,66,0,64,87,94,100.6
Swaziland,65.5,0,27.41,2.40101,20.7,10.70164763,0,51.57183669,4.69,26.84,122,67,155,127,99,205.5,0,25,57,150,100.75
Estonia,29.3,8.39,10.04,3.83437,9.64,27.67379522,28.8,53.14546857,2.426666667,55.11,190,198,87,169,58,62,3.5,8,150,88,101.35
Australia,2.6,0.34,12.14,3.00637,16.8,11.96014704,106.7,50.18277087,2.516666667,64.35,137,171,130,135.5,6,136,28,107,141,25,101.65
Italy,193,2.52,8.72,1.35622,23.6,5.72273693,40.3,51.26484952,2.496666667,66.305,54,220,171,121,173,84.5,6,34,143,13,101.95
